review_id,review,rating,date,source,bank
70,this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,Google Play,Commercial Bank of Ethiopia
71,good app,5,2025-11-08,Google Play,Commercial Bank of Ethiopia
72,Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,Google Play,Commercial Bank of Ethiopia
73,Good !,5,2025-11-08,Google Play,Commercial Bank of Ethiopia
74,i like it,5,2025-11-08,Google Play,Commercial Bank of Ethiopia
75,Very nice app,5,2025-11-08,Google Play,Commercial Bank of Ethiopia
76,the app is not functional this week.,4,2025-11-08,Google Play,Commercial Bank of Ethiopia
77,good,5,2025-11-07,Google Play,Commercial Bank of Ethiopia
78,very updated bank,5,2025-11-06,Google Play,Commercial Bank of Ethiopia
79,tankyu,5,2025-11-05,Google Play,Commercial Bank of Ethiopia
80,nice,5,2025-11-05,Google Play,Commercial Bank of Ethiopia
81,Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,Google Play,Commercial Bank of Ethiopia
82,"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,Google Play,Commercial Bank of Ethiopia
83,loved it,5,2025-11-05,Google Play,Commercial Bank of Ethiopia
84,Ok,1,2025-11-05,Google Play,Commercial Bank of Ethiopia
85,this app is not working on my phone,5,2025-11-03,Google Play,Commercial Bank of Ethiopia
86,CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,Google Play,Commercial Bank of Ethiopia
87,"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03,Google Play,Commercial Bank of Ethiopia
88,nice,5,2025-11-02,Google Play,Commercial Bank of Ethiopia
89,wow 😘😘😘,4,2025-11-02,Google Play,Commercial Bank of Ethiopia
90,mobile banking broblem,5,2025-11-01,Google Play,Commercial Bank of Ethiopia
91,good job,5,2025-11-01,Google Play,Commercial Bank of Ethiopia
92,good,3,2025-11-01,Google Play,Commercial Bank of Ethiopia
93,it is a good and clear apps to use,4,2025-10-31,Google Play,Commercial Bank of Ethiopia
94,ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,Google Play,Commercial Bank of Ethiopia
95,I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,Google Play,Commercial Bank of Ethiopia
96,niiceh,5,2025-10-29,Google Play,Commercial Bank of Ethiopia
97,the app is good but their is no dark mode you have to add it,3,2025-10-29,Google Play,Commercial Bank of Ethiopia
98,🤮,1,2025-10-29,Google Play,Commercial Bank of Ethiopia
99,abdulakim abrahim elemoo,5,2025-10-29,Google Play,Commercial Bank of Ethiopia
100,good app,5,2025-10-28,Google Play,Commercial Bank of Ethiopia
101,strong,5,2025-10-28,Google Play,Commercial Bank of Ethiopia
102,good,5,2025-10-28,Google Play,Commercial Bank of Ethiopia
103,best,5,2025-10-28,Google Play,Commercial Bank of Ethiopia
104,Abebaw Zenebe,5,2025-10-28,Google Play,Commercial Bank of Ethiopia
105,good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,Google Play,Commercial Bank of Ethiopia
106,good,5,2025-10-27,Google Play,Commercial Bank of Ethiopia
